
=== Strategy Vanity Finder (0x47...ea91e) ===

Factory: 0xaa28020dda6b954d16208eccf873d79ac6533833
Init Code Hash: 0x19ecc73b30d535be6d4d01a07b89535d8fa7c69b7b5266f8731cb999d91480ad
Pattern: 0x47...ea91e

Searching with 28 CPU cores...

  Attempts: 100000 | Rate: 27921083/s | Time: 0.0s
  Attempts: 200000 | Rate: 31387241/s | Time: 0.0s
  Attempts: 300000 | Rate: 32424444/s | Time: 0.0s
  Attempts: 400000 | Rate: 33123811/s | Time: 0.0s
  Attempts: 500000 | Rate: 33540830/s | Time: 0.0s
  Attempts: 600000 | Rate: 33792439/s | Time: 0.0s
  Attempts: 700000 | Rate: 33850341/s | Time: 0.0s
  Attempts: 800000 | Rate: 34030404/s | Time: 0.0s
  Attempts: 900000 | Rate: 34362228/s | Time: 0.0s
  Attempts: 1000000 | Rate: 34621718/s | Time: 0.0s
  Attempts: 1100000 | Rate: 34866772/s | Time: 0.0s
  Attempts: 1200000 | Rate: 35019171/s | Time: 0.0s
  Attempts: 1300000 | Rate: 34962523/s | Time: 0.0s
  Attempts: 1400000 | Rate: 34927132/s | Time: 0.0s
  Attempts: 1500000 | Rate: 34941569/s | Time: 0.0s
  Attempts: 1600000 | Rate: 34990052/s | Time: 0.0s
  Attempts: 1700000 | Rate: 35023429/s | Time: 0.0s
  Attempts: 1800000 | Rate: 35028040/s | Time: 0.1s
  Attempts: 1900000 | Rate: 34991925/s | Time: 0.1s
  Attempts: 2000000 | Rate: 34873618/s | Time: 0.1s
  Attempts: 2100000 | Rate: 34865611/s | Time: 0.1s
  Attempts: 2200000 | Rate: 34867851/s | Time: 0.1s
  Attempts: 2300000 | Rate: 34877079/s | Time: 0.1s
  Attempts: 2400000 | Rate: 34887968/s | Time: 0.1s
  Attempts: 2500000 | Rate: 34868217/s | Time: 0.1s
  Attempts: 2600000 | Rate: 34891313/s | Time: 0.1s
  Attempts: 2700000 | Rate: 34876312/s | Time: 0.1s
  Attempts: 2800000 | Rate: 34893528/s | Time: 0.1s
  Attempts: 2900000 | Rate: 34902730/s | Time: 0.1s
  Attempts: 3000000 | Rate: 34892828/s | Time: 0.1s
  Attempts: 3100000 | Rate: 34884885/s | Time: 0.1s
  Attempts: 3200000 | Rate: 34863471/s | Time: 0.1s
  Attempts: 3300000 | Rate: 34791942/s | Time: 0.1s
  Attempts: 3400000 | Rate: 34748496/s | Time: 0.1s
  Attempts: 3500000 | Rate: 34692594/s | Time: 0.1s
  Attempts: 3600000 | Rate: 34624116/s | Time: 0.1s
  Attempts: 3700000 | Rate: 34660862/s | Time: 0.1s
  Attempts: 3800000 | Rate: 34701969/s | Time: 0.1s
  Attempts: 3900000 | Rate: 34756616/s | Time: 0.1s
  Attempts: 4000000 | Rate: 34809341/s | Time: 0.1s
  Attempts: 4100000 | Rate: 34858045/s | Time: 0.1s
  Attempts: 4200000 | Rate: 34892630/s | Time: 0.1s
  Attempts: 4300000 | Rate: 34952817/s | Time: 0.1s
  Attempts: 4400000 | Rate: 35011832/s | Time: 0.1s
  Attempts: 4500000 | Rate: 34988341/s | Time: 0.1s
  Attempts: 4600000 | Rate: 35031216/s | Time: 0.1s
  Attempts: 4700000 | Rate: 35074353/s | Time: 0.1s
  Attempts: 4800000 | Rate: 35113505/s | Time: 0.1s
  Attempts: 4900000 | Rate: 35137865/s | Time: 0.1s
  Attempts: 5000000 | Rate: 35180025/s | Time: 0.1s
  Attempts: 5100000 | Rate: 35225677/s | Time: 0.1s
  Attempts: 5200000 | Rate: 35265537/s | Time: 0.1s
  Attempts: 5300000 | Rate: 35295005/s | Time: 0.2s
  Attempts: 5400000 | Rate: 35329910/s | Time: 0.2s
  Attempts: 5500000 | Rate: 35374298/s | Time: 0.2s
  Attempts: 5600000 | Rate: 35418166/s | Time: 0.2s
  Attempts: 5700000 | Rate: 35448347/s | Time: 0.2s
  Attempts: 5800000 | Rate: 35420686/s | Time: 0.2s
  Attempts: 5900000 | Rate: 35434341/s | Time: 0.2s
  Attempts: 6000000 | Rate: 35457778/s | Time: 0.2s
  Attempts: 6100000 | Rate: 35494735/s | Time: 0.2s
  Attempts: 6200000 | Rate: 35514688/s | Time: 0.2s
  Attempts: 6300000 | Rate: 35528267/s | Time: 0.2s
  Attempts: 6400000 | Rate: 35542590/s | Time: 0.2s
  Attempts: 6500000 | Rate: 35553704/s | Time: 0.2s
  Attempts: 6600000 | Rate: 35554134/s | Time: 0.2s
  Attempts: 6700000 | Rate: 35542683/s | Time: 0.2s
  Attempts: 6800000 | Rate: 35540253/s | Time: 0.2s
  Attempts: 6900000 | Rate: 35526662/s | Time: 0.2s
  Attempts: 7000000 | Rate: 35517579/s | Time: 0.2s
  Attempts: 7100000 | Rate: 35522260/s | Time: 0.2s
  Attempts: 7200000 | Rate: 35525384/s | Time: 0.2s
  Attempts: 7300000 | Rate: 35543289/s | Time: 0.2s
  Attempts: 7400000 | Rate: 35552030/s | Time: 0.2s
  Attempts: 7500000 | Rate: 35569141/s | Time: 0.2s
  Attempts: 7600000 | Rate: 35589526/s | Time: 0.2s
  Attempts: 7700000 | Rate: 35602912/s | Time: 0.2s
  Attempts: 7800000 | Rate: 35619826/s | Time: 0.2s
  Attempts: 7900000 | Rate: 35637868/s | Time: 0.2s
  Attempts: 8000000 | Rate: 35655015/s | Time: 0.2s
  Attempts: 8100000 | Rate: 35656780/s | Time: 0.2s
  Attempts: 8200000 | Rate: 35666767/s | Time: 0.2s
  Attempts: 8300000 | Rate: 35668792/s | Time: 0.2s
  Attempts: 8400000 | Rate: 35652645/s | Time: 0.2s
  Attempts: 8500000 | Rate: 35661662/s | Time: 0.2s
  Attempts: 8600000 | Rate: 35624059/s | Time: 0.2s
  Attempts: 8700000 | Rate: 35618265/s | Time: 0.2s
  Attempts: 8800000 | Rate: 35604866/s | Time: 0.2s
  Attempts: 8900000 | Rate: 35613098/s | Time: 0.2s
  Attempts: 9000000 | Rate: 35627206/s | Time: 0.3s
  Attempts: 9100000 | Rate: 35639767/s | Time: 0.3s
  Attempts: 9200000 | Rate: 35660962/s | Time: 0.3s
  Attempts: 9300000 | Rate: 35683663/s | Time: 0.3s
  Attempts: 9400000 | Rate: 35698074/s | Time: 0.3s
  Attempts: 9500000 | Rate: 35715399/s | Time: 0.3s
  Attempts: 9600000 | Rate: 35714430/s | Time: 0.3s
  Attempts: 9700000 | Rate: 35710123/s | Time: 0.3s
  Attempts: 9800000 | Rate: 35724567/s | Time: 0.3s
  Attempts: 9900000 | Rate: 35739597/s | Time: 0.3s
  Attempts: 10000000 | Rate: 35751744/s | Time: 0.3s
  Attempts: 10100000 | Rate: 35772117/s | Time: 0.3s
  Attempts: 10200000 | Rate: 35786326/s | Time: 0.3s
  Attempts: 10300000 | Rate: 35791794/s | Time: 0.3s
