
=== Strategy Vanity Finder (0x47...ea91e) ===

Factory: 0xaa28020dda6b954d16208eccf873d79ac6533833
Init Code Hash: 0x70edd96c806f7a3d0715e4f818ea64f06c5ae6b33cdf0d2257398e956bf0f1cb
Pattern: 0x47...ea91e

Searching with 28 CPU cores...

  Attempts: 100000 | Rate: 24861101/s | Time: 0.0s
  Attempts: 200000 | Rate: 28485273/s | Time: 0.0s
  Attempts: 300000 | Rate: 30363580/s | Time: 0.0s
  Attempts: 400000 | Rate: 31548516/s | Time: 0.0s
  Attempts: 500000 | Rate: 32326563/s | Time: 0.0s
  Attempts: 600000 | Rate: 32957321/s | Time: 0.0s
  Attempts: 700000 | Rate: 33437394/s | Time: 0.0s
  Attempts: 800000 | Rate: 33779122/s | Time: 0.0s
  Attempts: 900000 | Rate: 33911347/s | Time: 0.0s
  Attempts: 1000000 | Rate: 33998855/s | Time: 0.0s
  Attempts: 1100000 | Rate: 33934470/s | Time: 0.0s
  Attempts: 1200000 | Rate: 33937212/s | Time: 0.0s
  Attempts: 1300000 | Rate: 34045715/s | Time: 0.0s
  Attempts: 1400000 | Rate: 34146024/s | Time: 0.0s
  Attempts: 1500000 | Rate: 34192297/s | Time: 0.0s
  Attempts: 1600000 | Rate: 34137792/s | Time: 0.0s
  Attempts: 1700000 | Rate: 33996607/s | Time: 0.1s
  Attempts: 1800000 | Rate: 33866715/s | Time: 0.1s
  Attempts: 1900000 | Rate: 33634700/s | Time: 0.1s
  Attempts: 2000000 | Rate: 33406820/s | Time: 0.1s
  Attempts: 2100000 | Rate: 33167494/s | Time: 0.1s
  Attempts: 2200000 | Rate: 32876822/s | Time: 0.1s
  Attempts: 2300000 | Rate: 32539243/s | Time: 0.1s
  Attempts: 2400000 | Rate: 32292962/s | Time: 0.1s
  Attempts: 2500000 | Rate: 32023255/s | Time: 0.1s
  Attempts: 2600000 | Rate: 31794360/s | Time: 0.1s
  Attempts: 2700000 | Rate: 31587073/s | Time: 0.1s
  Attempts: 2800000 | Rate: 31371689/s | Time: 0.1s
  Attempts: 2900000 | Rate: 31173628/s | Time: 0.1s
  Attempts: 3000000 | Rate: 30990489/s | Time: 0.1s
  Attempts: 3100000 | Rate: 30734777/s | Time: 0.1s
  Attempts: 3200000 | Rate: 30529246/s | Time: 0.1s
  Attempts: 3300000 | Rate: 30374760/s | Time: 0.1s
  Attempts: 3400000 | Rate: 30200432/s | Time: 0.1s
  Attempts: 3500000 | Rate: 29985775/s | Time: 0.1s
  Attempts: 3600000 | Rate: 29847189/s | Time: 0.1s
  Attempts: 3700000 | Rate: 29720070/s | Time: 0.1s
  Attempts: 3800000 | Rate: 29594984/s | Time: 0.1s
  Attempts: 3900000 | Rate: 29489293/s | Time: 0.1s
  Attempts: 4000000 | Rate: 29392380/s | Time: 0.1s
  Attempts: 4100000 | Rate: 29256325/s | Time: 0.1s
  Attempts: 4200000 | Rate: 29152389/s | Time: 0.1s
  Attempts: 4300000 | Rate: 29010665/s | Time: 0.1s
  Attempts: 4400000 | Rate: 28917460/s | Time: 0.2s
  Attempts: 4500000 | Rate: 28841248/s | Time: 0.2s
  Attempts: 4600000 | Rate: 28767354/s | Time: 0.2s
  Attempts: 4700000 | Rate: 28700122/s | Time: 0.2s
  Attempts: 4800000 | Rate: 28631093/s | Time: 0.2s
  Attempts: 4900000 | Rate: 28570689/s | Time: 0.2s
  Attempts: 5000000 | Rate: 28459149/s | Time: 0.2s
  Attempts: 5100000 | Rate: 28389721/s | Time: 0.2s
  Attempts: 5200000 | Rate: 28335165/s | Time: 0.2s
  Attempts: 5300000 | Rate: 28273633/s | Time: 0.2s
  Attempts: 5400000 | Rate: 28229374/s | Time: 0.2s
  Attempts: 5500000 | Rate: 28181079/s | Time: 0.2s
  Attempts: 5600000 | Rate: 28133804/s | Time: 0.2s
  Attempts: 5700000 | Rate: 28067312/s | Time: 0.2s
  Attempts: 5800000 | Rate: 28020737/s | Time: 0.2s
  Attempts: 5900000 | Rate: 27953152/s | Time: 0.2s
  Attempts: 6000000 | Rate: 27899864/s | Time: 0.2s
  Attempts: 6100000 | Rate: 27841951/s | Time: 0.2s
  Attempts: 6200000 | Rate: 27802292/s | Time: 0.2s
  Attempts: 6300000 | Rate: 27764457/s | Time: 0.2s
  Attempts: 6400000 | Rate: 27738793/s | Time: 0.2s
