
=== Wrapper Vanity Finder (0x47...ea91e) ===

Factory: 0xaa28020dda6b954d16208eccf873d79ac6533833
Init Code Hash: 0x12fa3fc440a2f07751522844301db74fcfc1092732273f79b9f65038c05241e0
Pattern: 0x47...ea91e

Searching with 28 CPU cores...

  Attempts: 100000 | Rate: 28562648/s | Time: 0.0s
  Attempts: 200000 | Rate: 31867777/s | Time: 0.0s
  Attempts: 300000 | Rate: 33292849/s | Time: 0.0s
  Attempts: 400000 | Rate: 34123165/s | Time: 0.0s
  Attempts: 500000 | Rate: 34550361/s | Time: 0.0s
  Attempts: 600000 | Rate: 34844729/s | Time: 0.0s
  Attempts: 700000 | Rate: 34926739/s | Time: 0.0s
  Attempts: 800000 | Rate: 35041865/s | Time: 0.0s
  Attempts: 900000 | Rate: 35367507/s | Time: 0.0s
  Attempts: 1000000 | Rate: 35467725/s | Time: 0.0s
  Attempts: 1100000 | Rate: 35307844/s | Time: 0.0s
  Attempts: 1200000 | Rate: 35268128/s | Time: 0.0s
  Attempts: 1300000 | Rate: 35086060/s | Time: 0.0s
  Attempts: 1400000 | Rate: 35056974/s | Time: 0.0s
  Attempts: 1500000 | Rate: 35055135/s | Time: 0.0s
  Attempts: 1600000 | Rate: 35140202/s | Time: 0.0s
  Attempts: 1700000 | Rate: 35233338/s | Time: 0.0s
  Attempts: 1800000 | Rate: 35309270/s | Time: 0.1s
  Attempts: 1900000 | Rate: 35301434/s | Time: 0.1s
  Attempts: 2000000 | Rate: 35329472/s | Time: 0.1s
  Attempts: 2100000 | Rate: 35385216/s | Time: 0.1s
  Attempts: 2200000 | Rate: 35435710/s | Time: 0.1s
  Attempts: 2300000 | Rate: 35432849/s | Time: 0.1s
  Attempts: 2400000 | Rate: 35325733/s | Time: 0.1s
  Attempts: 2500000 | Rate: 35288954/s | Time: 0.1s
  Attempts: 2600000 | Rate: 35257972/s | Time: 0.1s
  Attempts: 2700000 | Rate: 35176530/s | Time: 0.1s
  Attempts: 2800000 | Rate: 35100256/s | Time: 0.1s
  Attempts: 2900000 | Rate: 35104664/s | Time: 0.1s
  Attempts: 3000000 | Rate: 35095025/s | Time: 0.1s
  Attempts: 3100000 | Rate: 35114044/s | Time: 0.1s
  Attempts: 3200000 | Rate: 35158729/s | Time: 0.1s
  Attempts: 3300000 | Rate: 35207243/s | Time: 0.1s
  Attempts: 3400000 | Rate: 35247642/s | Time: 0.1s
  Attempts: 3500000 | Rate: 35248883/s | Time: 0.1s
  Attempts: 3600000 | Rate: 35127934/s | Time: 0.1s
  Attempts: 3700000 | Rate: 35156522/s | Time: 0.1s
  Attempts: 3800000 | Rate: 35187702/s | Time: 0.1s
  Attempts: 3900000 | Rate: 35219881/s | Time: 0.1s
  Attempts: 4000000 | Rate: 35238735/s | Time: 0.1s
