
=== Wrapper Vanity Finder (0x47...ea91e) ===

Factory: 0xaa28020dda6b954d16208eccf873d79ac6533833
Init Code Hash: 0x7f4e8166ddda12d0f4dbab33c68115dc924fa083ce4acdba8cd492573d4dc86f
Pattern: 0x47...ea91e

Searching with 28 CPU cores...

  Attempts: 100000 | Rate: 30632121/s | Time: 0.0s
  Attempts: 200000 | Rate: 32397536/s | Time: 0.0s
  Attempts: 300000 | Rate: 32845346/s | Time: 0.0s
  Attempts: 400000 | Rate: 32950707/s | Time: 0.0s
  Attempts: 500000 | Rate: 32717582/s | Time: 0.0s
  Attempts: 600000 | Rate: 32615446/s | Time: 0.0s
  Attempts: 700000 | Rate: 32738858/s | Time: 0.0s
  Attempts: 800000 | Rate: 32837745/s | Time: 0.0s
  Attempts: 900000 | Rate: 32986611/s | Time: 0.0s
  Attempts: 1000000 | Rate: 32964363/s | Time: 0.0s
  Attempts: 1100000 | Rate: 32859417/s | Time: 0.0s
  Attempts: 1200000 | Rate: 32851614/s | Time: 0.0s
  Attempts: 1300000 | Rate: 32840831/s | Time: 0.0s
  Attempts: 1400000 | Rate: 32886592/s | Time: 0.0s
  Attempts: 1500000 | Rate: 32993026/s | Time: 0.0s
  Attempts: 1600000 | Rate: 32998203/s | Time: 0.0s
  Attempts: 1700000 | Rate: 32939946/s | Time: 0.1s
  Attempts: 1800000 | Rate: 32950638/s | Time: 0.1s
  Attempts: 1900000 | Rate: 33041083/s | Time: 0.1s
  Attempts: 2000000 | Rate: 33149008/s | Time: 0.1s
  Attempts: 2100000 | Rate: 33263147/s | Time: 0.1s
  Attempts: 2200000 | Rate: 33402417/s | Time: 0.1s
  Attempts: 2300000 | Rate: 33524642/s | Time: 0.1s
  Attempts: 2400000 | Rate: 33652825/s | Time: 0.1s
  Attempts: 2500000 | Rate: 33774042/s | Time: 0.1s
  Attempts: 2600000 | Rate: 33818148/s | Time: 0.1s
  Attempts: 2700000 | Rate: 33903638/s | Time: 0.1s
  Attempts: 2800000 | Rate: 33985756/s | Time: 0.1s
  Attempts: 2900000 | Rate: 34009385/s | Time: 0.1s
  Attempts: 3000000 | Rate: 34079264/s | Time: 0.1s
  Attempts: 3100000 | Rate: 34146584/s | Time: 0.1s
  Attempts: 3200000 | Rate: 34192975/s | Time: 0.1s
  Attempts: 3300000 | Rate: 34254901/s | Time: 0.1s
  Attempts: 3400000 | Rate: 34329264/s | Time: 0.1s
  Attempts: 3500000 | Rate: 34387188/s | Time: 0.1s
  Attempts: 3600000 | Rate: 34436764/s | Time: 0.1s
  Attempts: 3700000 | Rate: 34491798/s | Time: 0.1s
  Attempts: 3800000 | Rate: 34543314/s | Time: 0.1s
  Attempts: 3900000 | Rate: 34594783/s | Time: 0.1s
  Attempts: 4000000 | Rate: 34639802/s | Time: 0.1s
  Attempts: 4100000 | Rate: 34667345/s | Time: 0.1s
  Attempts: 4200000 | Rate: 34614422/s | Time: 0.1s
  Attempts: 4300000 | Rate: 34607729/s | Time: 0.1s
  Attempts: 4400000 | Rate: 34610723/s | Time: 0.1s
  Attempts: 4500000 | Rate: 34628475/s | Time: 0.1s
  Attempts: 4600000 | Rate: 34660533/s | Time: 0.1s
  Attempts: 4700000 | Rate: 34695393/s | Time: 0.1s
  Attempts: 4800000 | Rate: 34726383/s | Time: 0.1s
  Attempts: 4900000 | Rate: 34767310/s | Time: 0.1s
  Attempts: 5000000 | Rate: 34789520/s | Time: 0.1s
  Attempts: 5100000 | Rate: 34813818/s | Time: 0.1s
  Attempts: 5200000 | Rate: 34817209/s | Time: 0.1s
  Attempts: 5300000 | Rate: 34822080/s | Time: 0.2s
  Attempts: 5400000 | Rate: 34810496/s | Time: 0.2s
  Attempts: 5500000 | Rate: 34802120/s | Time: 0.2s
  Attempts: 5600000 | Rate: 34744420/s | Time: 0.2s
  Attempts: 5700000 | Rate: 34719608/s | Time: 0.2s
  Attempts: 5800000 | Rate: 34726884/s | Time: 0.2s
  Attempts: 5900000 | Rate: 34744116/s | Time: 0.2s
  Attempts: 6000000 | Rate: 34773062/s | Time: 0.2s
  Attempts: 6100000 | Rate: 34805419/s | Time: 0.2s
  Attempts: 6200000 | Rate: 34827347/s | Time: 0.2s
  Attempts: 6300000 | Rate: 34850881/s | Time: 0.2s
  Attempts: 6400000 | Rate: 34875244/s | Time: 0.2s
  Attempts: 6500000 | Rate: 34898583/s | Time: 0.2s
  Attempts: 6600000 | Rate: 34909399/s | Time: 0.2s
  Attempts: 6700000 | Rate: 34891376/s | Time: 0.2s
  Attempts: 6800000 | Rate: 34885262/s | Time: 0.2s
  Attempts: 6900000 | Rate: 34904441/s | Time: 0.2s
  Attempts: 7000000 | Rate: 34919679/s | Time: 0.2s
  Attempts: 7100000 | Rate: 34931936/s | Time: 0.2s
  Attempts: 7200000 | Rate: 34959208/s | Time: 0.2s
  Attempts: 7300000 | Rate: 34982301/s | Time: 0.2s
  Attempts: 7400000 | Rate: 34994878/s | Time: 0.2s
  Attempts: 7500000 | Rate: 35011656/s | Time: 0.2s
  Attempts: 7600000 | Rate: 35021218/s | Time: 0.2s
  Attempts: 7700000 | Rate: 35029541/s | Time: 0.2s
  Attempts: 7800000 | Rate: 35046819/s | Time: 0.2s
  Attempts: 7900000 | Rate: 35048542/s | Time: 0.2s
  Attempts: 8000000 | Rate: 35060811/s | Time: 0.2s
  Attempts: 8100000 | Rate: 35073975/s | Time: 0.2s
  Attempts: 8200000 | Rate: 35086798/s | Time: 0.2s
  Attempts: 8300000 | Rate: 35099017/s | Time: 0.2s
  Attempts: 8400000 | Rate: 35116861/s | Time: 0.2s
  Attempts: 8500000 | Rate: 35130554/s | Time: 0.2s
  Attempts: 8600000 | Rate: 35145036/s | Time: 0.2s
  Attempts: 8700000 | Rate: 35159283/s | Time: 0.2s
  Attempts: 8800000 | Rate: 35173048/s | Time: 0.3s
  Attempts: 8900000 | Rate: 35187634/s | Time: 0.3s
  Attempts: 9000000 | Rate: 35201780/s | Time: 0.3s
  Attempts: 9100000 | Rate: 35201559/s | Time: 0.3s
  Attempts: 9200000 | Rate: 35183574/s | Time: 0.3s
  Attempts: 9300000 | Rate: 35186388/s | Time: 0.3s
  Attempts: 9400000 | Rate: 35198150/s | Time: 0.3s
  Attempts: 9500000 | Rate: 35214028/s | Time: 0.3s
  Attempts: 9600000 | Rate: 35220310/s | Time: 0.3s
  Attempts: 9700000 | Rate: 35226945/s | Time: 0.3s
  Attempts: 9800000 | Rate: 35237675/s | Time: 0.3s
  Attempts: 9900000 | Rate: 35252046/s | Time: 0.3s
  Attempts: 10000000 | Rate: 35268872/s | Time: 0.3s
  Attempts: 10100000 | Rate: 35279805/s | Time: 0.3s
  Attempts: 10200000 | Rate: 35284087/s | Time: 0.3s
  Attempts: 10300000 | Rate: 35292779/s | Time: 0.3s
  Attempts: 10400000 | Rate: 35298362/s | Time: 0.3s
  Attempts: 10500000 | Rate: 35295185/s | Time: 0.3s
